X;Y;type;name;address;com_insee;com_nom;geometry
2.4576835;48.7799234997469;restaurant;Fish'tro;;94028;Créteil;POINT (2.4576835 48.7799234997469)
2.4629751;48.7788231997472;pharmacy;Pharmacie Kennedy;;94028;Créteil;POINT (2.4629751 48.7788231997472)
2.4251341;48.7950961997432;cafe;Le Printemps;;94002;Alfortville;POINT (2.4251341 48.7950961997432)
2.4578183;48.779578399747;restaurant;Factory & Co;;94028;Créteil;POINT (2.4578183 48.779578399747)
2.5332532;48.7206396997616;fast_food;Pizza Greg;;94075;Villecresnes;POINT (2.5332532 48.7206396997616)
2.4196971;48.8055802997405;bar;Brasserie de l'Hôtel de Ville;;94002;Alfortville;POINT (2.4196971 48.8055802997405)
2.4603667;48.8027340997412;cafe;;;94028;Créteil;POINT (2.4603667 48.8027340997412)
2.4624623;48.7929196997437;bakery;Boulangerie Sécher;;94028;Créteil;POINT (2.4624623 48.7929196997437)
2.4560676;48.7980140997424;pharmacy;Pharmacie Renoult;;94028;Créteil;POINT (2.4560676 48.7980140997424)
2.4253895;48.7861786997454;pharmacy;Pharmacie les Goujons;;94002;Alfortville;POINT (2.4253895 48.7861786997454)
2.4561721;48.7811704997466;bakery;Brioche Dorée;Avenue du Général De Gaulle;94028;Créteil;POINT (2.4561721 48.7811704997466)
2.4782591;48.7413893997565;restaurant;Adith;10 bis Avenue Descartes;94044;Limeil-Brévannes;POINT (2.4782591 48.7413893997565)
2.471738;48.7779724997474;bakery;;;94028;Créteil;POINT (2.471738 48.7779724997474)
2.5049807;48.7518686997539;fast_food;O'Tacos;;94004;Boissy-Saint-Léger;POINT (2.5049807 48.7518686997539)
2.446402;48.7869789997452;bakery;Paul;;94028;Créteil;POINT (2.446402 48.7869789997452)
2.4250314;48.7976724997425;cafe;;;94002;Alfortville;POINT (2.4250314 48.7976724997425)
2.512484;48.7492198997545;cafe;L'Olivier;;94004;Boissy-Saint-Léger;POINT (2.512484 48.7492198997545)
2.4633932;48.7772183997476;bakery;;;94028;Créteil;POINT (2.4633932 48.7772183997476)
2.4154533;48.8144603997383;bakery;Mira Boulangerie;30 Rue Charles de Gaulle;94002;Alfortville;POINT (2.4154533 48.8144603997383)
2.4422532;48.7752043997481;variety_store;Clash Price;;94028;Créteil;POINT (2.4422532 48.7752043997481)
2.5087398;48.7525853997537;bakery;;;94004;Boissy-Saint-Léger;POINT (2.5087398 48.7525853997537)
2.4569847;48.7733269997485;restaurant;Le Lac de l'Himalaya;18bis Esplanade des Abymes;94028;Créteil;POINT (2.4569847 48.7733269997485)
2.5332901;48.7670412997501;bakery;Au Pétrin du Fort;;94071;Sucy-en-Brie;POINT (2.5332901 48.7670412997501)
2.5204068;48.7696530997495;bar;Le Week-End;;94071;Sucy-en-Brie;POINT (2.5204068 48.7696530997495)
2.5734435;48.8096108997395;restaurant;Jade d'Asie;;94059;Le Plessis-Trévise;POINT (2.5734435 48.8096108997395)
2.4148062;48.8049789997407;bakery;Boulangerie L'Alfortvillaise;15 Place Salvador Allende;94002;Alfortville;POINT (2.4148062 48.8049789997407)
2.4559407;48.7975592997425;restaurant;Bonheur Thaï;;94028;Créteil;POINT (2.4559407 48.7975592997425)
2.521571;48.7701088997493;restaurant;Yama Yen;;94071;Sucy-en-Brie;POINT (2.521571 48.7701088997493)
2.5651645;48.7386606997571;pharmacy;Pharmacie TSIA REJANE;;94048;Marolles-en-Brie;POINT (2.5651645 48.7386606997571)
2.448325;48.7967416997427;pharmacy;Pharmacie de l'Echat;;94028;Créteil;POINT (2.448325 48.7967416997427)
2.47282390869869;48.76731952454;restaurant;Cezam;;94028;Créteil;POINT (2.47282390869869 48.76731952454)
2.53445672763183;48.787856340931;cafe;Café Das Rodas;;94055;Ormesson-sur-Marne;POINT (2.53445672763183 48.787856340931)
2.49909240569075;48.7605880387531;restaurant;Royal de Boissy;;94004;Boissy-Saint-Léger;POINT (2.49909240569075 48.7605880387531)
2.44285939776789;48.7748917626699;restaurant;Grill 168;;94028;Créteil;POINT (2.44285939776789 48.7748917626699)
2.53744960374466;48.7846393155999;restaurant;L'Escapade;;94055;Ormesson-sur-Marne;POINT (2.53744960374466 48.7846393155999)
2.5503465883717;48.7958341474994;restaurant;Le Cley;;94055;Ormesson-sur-Marne;POINT (2.5503465883717 48.7958341474994)
2.42260010245981;48.800351824786;restaurant;La Mamma;;94002;Alfortville;POINT (2.42260010245981 48.800351824786)
2.47814678143439;48.7630170276513;restaurant;La Criée;;94011;Bonneuil-sur-Marne;POINT (2.47814678143439 48.7630170276513)
2.47668785017101;48.7648109578836;restaurant;Au Bureau;;94011;Bonneuil-sur-Marne;POINT (2.47668785017101 48.7648109578836)
2.56744671691048;48.7829391800728;restaurant;;;94060;La Queue-en-Brie;POINT (2.56744671691048 48.7829391800728)
2.48730483427787;48.7661208776996;variety_store;GiFi;;94011;Bonneuil-sur-Marne;POINT (2.48730483427787 48.7661208776996)
2.52756340845635;48.7084456463178;supermarket;Intermarché;;94075;Villecresnes;POINT (2.52756340845635 48.7084456463178)
2.47409817791186;48.7396294893482;restaurant;Restaurant centre de formation;;94044;Limeil-Brévannes;POINT (2.47409817791186 48.7396294893482)
2.5550923850763;48.7947730016339;mall;Centre Commercial Pince-Vent;;94019;Chennevières-sur-Marne;POINT (2.5550923850763 48.7947730016339)
2.50804909796143;48.7717805036495;cafe;La Place;;94071;Sucy-en-Brie;POINT (2.50804909796143 48.7717805036495)
2.44297361734697;48.7741224982658;supermarket;Action;;94028;Créteil;POINT (2.44297361734697 48.7741224982658)
2.41996711413721;48.8043060734159;pharmacy;Espace Santé;;94002;Alfortville;POINT (2.41996711413721 48.8043060734159)
2.42064107604291;48.8022515953213;supermarket;Carrefour Contact;;94002;Alfortville;POINT (2.42064107604291 48.8022515953213)
2.5684522449652;48.7824800498272;fast_food;Pizza Hut;;94060;La Queue-en-Brie;POINT (2.5684522449652 48.7824800498272)
2.48480378332672;48.7674086924719;fast_food;McDonald's;;94011;Bonneuil-sur-Marne;POINT (2.48480378332672 48.7674086924719)
2.4630698164047;48.7909496191808;restaurant;Fou-Lo;16 Rue de Joly;94028;Créteil;POINT (2.4630698164047 48.7909496191808)
2.49051807939001;48.7696914147795;restaurant;Hippopotamus;;94011;Bonneuil-sur-Marne;POINT (2.49051807939001 48.7696914147795)
2.48885396607677;48.7640051931978;supermarket;Centre Commercial E. Leclerc;;94011;Bonneuil-sur-Marne;POINT (2.48885396607677 48.7640051931978)
2.50325863665736;48.7587070444383;restaurant;Courtepaille;;94004;Boissy-Saint-Léger;POINT (2.50325863665736 48.7587070444383)
2.48778886596185;48.7675693493328;supermarket;Aldi;;94011;Bonneuil-sur-Marne;POINT (2.48778886596185 48.7675693493328)
2.43595273274175;48.7851917701314;fast_food;McDonald's;;94028;Créteil;POINT (2.43595273274175 48.7851917701314)
2.5598103;48.7953484997431;supermarket;Le Grand Marché Bio;;94019;Chennevières-sur-Marne;POINT (2.5598103 48.7953484997431)
2.4570042;48.7801500997468;fast_food;Quick;;94028;Créteil;POINT (2.4570042 48.7801500997468)
2.4234508;48.7988898997422;cafe;Aux Quatre Points Cardinaux;;94002;Alfortville;POINT (2.4234508 48.7988898997422)
2.4737076;48.7523383997538;supermarket;Intermarché;15 Place Arthur Rimbaud;94044;Limeil-Brévannes;POINT (2.4737076 48.7523383997538)
2.4238928;48.7952101997431;cafe;Diyar;;94002;Alfortville;POINT (2.4238928 48.7952101997431)
2.55815045233806;48.7940494199018;fast_food;Burger King;;94019;Chennevières-sur-Marne;POINT (2.55815045233806 48.7940494199018)
2.4148368;48.8144330997384;fast_food;Domino's Pizza;26 Rue Charles de Gaulle;94002;Alfortville;POINT (2.4148368 48.8144330997384)
